Postcode,Service,Vendor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Economy,Joda,52,103.0,152.0,197.0,209.0,244.0,284,318.0,341.0,375.0,386.0,397.0,409.0,420.0,431.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
DN 15-25,Next Day,Joda,60,115.0,170.0,223.0,230.0,271.0,318,341.0,441.0,397.0,409.0,420.0,431.0,443.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,52,103.0,152.0,197.0,209.0,244.0,318,341.0,441.0,397.0,409.0,420.0,431.0,443.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
DN 26-40,Next Day,Joda,60,115.0,170.0,223.0,230.0,271.0,341,397.0,470.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,52,103.0,152.0,197.0,209.0,244.0,341,397.0,470.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
HU,Next Day,Joda,62,119.0,174.0,230.0,246.0,296.0,318,363.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,54,104.0,153.0,197.0,215.0,260.0,318,363.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
LE,Next Day,Joda,59,111.0,164.0,215.0,227.0,266.0,318,355.0,400.0,444.0,488.0,533.0,568.0,568.0,568.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,50,99.0,147.0,193.0,202.0,239.0,318,355.0,400.0,444.0,488.0,533.0,568.0,568.0,568.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
NG,Next Day,Joda,60,112.0,168.0,223.0,242.0,289.0,318,355.0,400.0,444.0,487.0,487.0,487.0,487.0,487.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0
,,McDowells,57.0,114.0,171.0,208.0,230.0,269.0,283.0,319.0,332.0,368.0,379.0,389.0,400.0,410.0,426.0,436.0,441.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,318,355.0,400.0,444.0,487.0,487.0,487.0,487.0,487.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0
